Date,Close,Open,High,Low,Vol-Million,Change %
"Oct 03, 2017",903.55,910.1,912,901.6,2.47,0.00
"Sep 29, 2017",899.9,898,902.4,895,2.85,0.00
"Sep 28, 2017",896,896.1,903.9,894.3,8.77,0.00
"Sep 27, 2017",899.8,906.1,907.9,895.1,3,-0.01
"Sep 26, 2017",905.9,897,908.4,894.3,3.68,0.01
"Sep 25, 2017",895.35,901,901.95,889.1,4.54,0.00
"Sep 22, 2017",898.3,908.15,910.25,888,8.8,-0.01
"Sep 21, 2017",909.55,915,915.25,908.15,4.1,0.00
"Sep 20, 2017",912.7,917,917,907.45,2.88,0.00
"Sep 19, 2017",912.25,908,916,903.5,3.02,0.00
"Sep 18, 2017",909.1,910,917.75,906.3,4.24,0.00
"Sep 15, 2017",908.25,892.3,913.25,892.2,6.73,0.02
"Sep 14, 2017",892.4,884.5,896.6,881.6,6.85,0.01
"Sep 13, 2017",883.75,885.5,887.6,881,5.74,0.00
"Sep 12, 2017",884.05,882.55,887.75,878.8,8.62,0.01
"Sep 11, 2017",878.7,890.4,891.8,873.65,6.89,-0.01
"Sep 08, 2017",884.3,899,899,882.1,4.3,-0.01
"Sep 07, 2017",895.75,900,900.5,892.35,3.12,0.00
"Sep 06, 2017",895.6,900,900.3,890,3.87,-0.01
"Sep 05, 2017",901.9,902,905,897.25,4.89,0.00
"Sep 04, 2017",900.2,921,921.1,893.5,5.09,-0.02
"Sep 01, 2017",919.95,915.95,925.9,910,4.22,0.01
"Aug 31, 2017",914.95,928.8,928.95,912.9,7.51,-0.01
"Aug 30, 2017",926.65,937.2,939,924.1,8.07,0.00
"Aug 29, 2017",927.45,941.45,942,925.55,6.68,-0.01
"Aug 28, 2017",941,943.95,953.95,938,20.36,0.03
"Aug 24, 2017",912.15,910,918.25,902.35,21.19,0.02
"Aug 23, 2017",892.8,880,903.7,873.9,30.64,0.02
"Aug 22, 2017",875.4,895.2,897.05,860,24.62,0.00
"Aug 21, 2017",873.4,924,924,870,45.2,-0.05
"Aug 18, 2017",923.25,1017.9,1017.9,884.2,82.2,-0.10
"Aug 17, 2017",1020.85,1005,1029.25,998.05,12.89,0.05
"Aug 16, 2017",975.2,982,986.1,969,3.09,-0.01
"Aug 14, 2017",981.45,988,989.2,977.15,1.91,-0.01
"Aug 11, 2017",987.7,976,997,969.6,3.27,0.01
"Aug 10, 2017",981.25,969.9,987.5,969.35,4.57,0.01
"Aug 09, 2017",969.35,967.65,973.9,964.55,1.96,0.01
"Aug 08, 2017",963.85,968.5,970.25,955.05,3,0.00
"Aug 07, 2017",968.25,983.5,983.75,965.7,3.04,-0.02
"Aug 04, 2017",983.75,988,989,976.05,2.67,0.00
"Aug 03, 2017",984,991,998.75,980.25,2.32,-0.01
"Aug 02, 2017",993.35,1006,1012.75,987.2,2.13,-0.01
"Aug 01, 2017",1005.55,1011,1017,998.35,3.84,-0.01
"Jul 31, 2017",1011.2,991.9,1021.7,986.75,9.58,0.01
"Jul 28, 2017",997.35,976,1003,962.3,5.55,0.03
"Jul 27, 2017",971.05,996,1004,966.8,6.34,-0.02
"Jul 26, 2017",994.05,998.1,999,990.4,3.44,0.00
"Jul 25, 2017",993.85,990,999,986.2,3.57,0.00
"Jul 24, 2017",990.55,983.5,994,982.6,3.06,0.01
"Jul 21, 2017",980.1,973,982.55,971.4,2.99,0.01
"Jul 20, 2017",969.45,979.3,979.85,966.95,3.4,-0.01
"Jul 19, 2017",979.85,981.45,988.65,969.1,2.95,-0.01
"Jul 18, 2017",985.6,986.05,1004.8,981.1,4.13,0.00
"Jul 17, 2017",984.05,975,992,974,3.85,0.01
"Jul 14, 2017",972.05,999.45,1006.85,966.05,11.24,-0.01
"Jul 13, 2017",977.05,977.25,983.45,964.1,2.59,0.00
"Jul 12, 2017",972.35,974.95,981.5,968.75,3.14,0.00
"Jul 11, 2017",975.35,956.65,989.5,956.65,5.77,0.02
"Jul 10, 2017",957.05,945,1028.9,937.3,0.85,0.02
"Jul 07, 2017",935.4,943.85,945.45,933.05,2.89,-0.01
"Jul 06, 2017",947,945,957,944.2,1.91,0.00
"Jul 05, 2017",950.9,959,959,945.4,2.11,-0.01
"Jul 04, 2017",962.15,953.85,970,949.4,2.58,0.01
"Jul 03, 2017",951.9,941.1,955,934.6,2.54,0.02
"Jun 30, 2017",935.55,930.8,938,929,2.11,0.01
"Jun 29, 2017",930.2,930.2,947.95,926.6,7.96,0.01
"Jun 28, 2017",924.7,932.8,933,921,2.95,0.00
"Jun 27, 2017",927.05,945,948,923.75,3.45,-0.02
"Jun 23, 2017",943.25,945,949.15,938,3.2,0.00
"Jun 22, 2017",940.15,947.7,968.7,935.1,4.73,0.00
"Jun 21, 2017",943.35,945,949,936.05,1.87,0.00
"Jun 20, 2017",943.55,935,946.9,934.05,2.59,0.01
"Jun 19, 2017",929.85,939.95,940.25,928,3.43,-0.01
